# x	y	u	v	flags	mask
1.6577e-01	1.8753e+00	5.1151e-01	3.1173e+00	1.0000e+00	0.0000e+00
3.7298e-01	1.8753e+00	6.8975e-01	3.0126e+00	1.0000e+00	0.0000e+00
5.8019e-01	1.8753e+00	8.2377e-01	2.8263e+00	1.0000e+00	0.0000e+00
7.8740e-01	1.8753e+00	7.1909e-01	2.4942e+00	1.0000e+00	0.0000e+00
9.9461e-01	1.8753e+00	9.5456e-01	2.1987e+00	1.0000e+00	0.0000e+00
1.2018e+00	1.8753e+00	1.7914e+00	-4.3466e-01	0.0000e+00	0.0000e+00
1.4090e+00	1.8753e+00	4.5318e-01	9.8634e-01	1.0000e+00	0.0000e+00
1.6162e+00	1.8753e+00	3.4355e-01	4.1195e-01	1.0000e+00	0.0000e+00
1.8235e+00	1.8753e+00	3.4506e-01	-1.6205e-01	1.0000e+00	0.0000e+00
2.0307e+00	1.8753e+00	-3.9985e+00	-5.5643e-01	0.0000e+00	0.0000e+00
2.2379e+00	1.8753e+00	3.7355e+00	-2.0858e-01	0.0000e+00	0.0000e+00
2.4451e+00	1.8753e+00	1.2637e-01	-1.1473e+00	1.0000e+00	0.0000e+00
2.6523e+00	1.8753e+00	1.0042e-01	-1.0461e+00	1.0000e+00	0.0000e+00
2.8595e+00	1.8753e+00	6.0081e-01	-7.4290e-01	1.0000e+00	0.0000e+00
3.0667e+00	1.8753e+00	3.0097e+00	-2.0175e-01	0.0000e+00	0.0000e+00
3.2739e+00	1.8753e+00	-1.5675e-02	-1.6028e-01	1.0000e+00	0.0000e+00
3.4811e+00	1.8753e+00	-1.2556e-01	5.7683e-02	1.0000e+00	0.0000e+00
3.6884e+00	1.8753e+00	-4.8262e-01	1.2477e-01	1.0000e+00	0.0000e+00
3.8956e+00	1.8753e+00	-2.7602e-01	-1.2202e-01	1.0000e+00	0.0000e+00
4.1028e+00	1.8753e+00	-2.8604e-02	1.3629e-01	1.0000e+00	0.0000e+00
4.3100e+00	1.8753e+00	-2.6977e-01	-1.1018e-01	1.0000e+00	0.0000e+00
4.5172e+00	1.8753e+00	-3.5603e-02	-1.7612e-01	1.0000e+00	0.0000e+00
