# x	y	u	v	flags	mask
2.1757e-01	3.5226e+00	1.0361e+00	-1.9862e+00	0.0000e+00	0.0000e+00
4.8695e-01	3.5226e+00	1.1450e+00	-2.0052e+00	0.0000e+00	0.0000e+00
7.5632e-01	3.5226e+00	1.0361e+00	-2.0540e+00	0.0000e+00	0.0000e+00
1.0257e+00	3.5226e+00	1.0178e+00	-2.0085e+00	0.0000e+00	0.0000e+00
1.2951e+00	3.5226e+00	9.6359e-01	-2.0320e+00	0.0000e+00	0.0000e+00
1.5644e+00	3.5226e+00	9.5664e-01	-2.0721e+00	0.0000e+00	0.0000e+00
1.8338e+00	3.5226e+00	1.0189e+00	-2.0291e+00	1.0000e+00	0.0000e+00
2.1032e+00	3.5226e+00	1.0361e+00	-2.0579e+00	0.0000e+00	0.0000e+00
2.3726e+00	3.5226e+00	9.1610e-01	-1.9924e+00	0.0000e+00	0.0000e+00
2.6419e+00	3.5226e+00	1.0927e+00	-2.0140e+00	0.0000e+00	0.0000e+00
2.9113e+00	3.5226e+00	1.1361e+00	-2.0376e+00	0.0000e+00	0.0000e+00
3.1807e+00	3.5226e+00	1.0389e+00	-2.0431e+00	0.0000e+00	0.0000e+00
3.4501e+00	3.5226e+00	1.0361e+00	-2.0249e+00	0.0000e+00	0.0000e+00
3.7194e+00	3.5226e+00	1.0634e+00	-2.0649e+00	0.0000e+00	0.0000e+00
3.9888e+00	3.5226e+00	1.0753e+00	-2.0321e+00	0.0000e+00	0.0000e+00
4.2582e+00	3.5226e+00	1.0446e+00	-2.0674e+00	0.0000e+00	0.0000e+00
4.5276e+00	3.5226e+00	1.0548e+00	-2.0167e+00	0.0000e+00	0.0000e+00
4.7969e+00	3.5226e+00	1.0022e+00	-2.0549e+00	0.0000e+00	0.0000e+00
5.0663e+00	3.5226e+00	1.0639e+00	-2.0091e+00	0.0000e+00	0.0000e+00
2.1757e-01	3.2532e+00	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
4.8695e-01	3.2532e+00	1.0865e+00	-2.0340e+00	0.0000e+00	0.0000e+00
7.5632e-01	3.2532e+00	1.0601e+00	-2.0266e+00	0.0000e+00	0.0000e+00
1.0257e+00	3.2532e+00	1.0418e+00	-2.0682e+00	0.0000e+00	0.0000e+00
1.2951e+00	3.2532e+00	1.0035e+00	-2.0472e+00	0.0000e+00	0.0000e+00
1.5644e+00	3.2532e+00	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
1.8338e+00	3.2532e+00	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
2.1032e+00	3.2532e+00	1.0839e+00	-2.0294e+00	0.0000e+00	0.0000e+00
2.3726e+00	3.2532e+00	1.0524e+00	-2.0643e+00	0.0000e+00	0.0000e+00
2.6419e+00	3.2532e+00	1.0361e+00	-1.8344e+00	0.0000e+00	0.0000e+00
2.9113e+00	3.2532e+00	1.0470e+00	-1.9502e+00	0.0000e+00	0.0000e+00
